#事業者名	線名	駅1	駅2	駅間営業粨程	駅間計算粨程	駅間実乗粨程	制約
JR東日本	武蔵野線	新松戸	西船橋	143	143	143	:基110_NEX
JR東日本	横浜線	東神奈川	新横浜	61	61	79	:規157_(21)	# 基149（東神奈川～横浜）, 基151（東神奈川～横浜）
JR東日本	横浜線	新横浜	（横）橋本	277	277	277	
JR東日本	横浜線	（横）橋本	八王子	88	88	88	
JR東日本	根岸線	横浜	大船	221	221	221	:規157_(21)
JR東日本	横須賀線	大船	久里浜	239	239	239	:規157_(21)
JR東日本	相模線	茅ケ崎	（横）橋本	333	333	333	:規157_(21)
JR東海	御殿場線	国府津	沼津	602	602	602	:規157_(21)
JR東日本	伊東線	熱海	伊東	169	169	169	
JR東海	身延線	甲府	富士	884	972	884	
JR東海	飯田線	豊橋	辰野	1957	2153	1957	
JR東海	武豊線	大府	武豊	193	212	193	
JR西日本	湖西線	近江塩津	山科	741	741	941	+規69_(6)	# 基151（近江塩津～敦賀, 山科～京都）
JR西日本	おおさか東線	新大阪	鴫野	94	94	132		# 基151（新大阪～大阪）
JR西日本	おおさか東線	放出	久宝寺	92	92	92	
JR西日本	大阪環状線	天王寺	京橋	65	65	65	+規69_(7)
JR西日本	大阪環状線	京橋	大阪	42	42	42	+規69_(7)
JR西日本	大阪環状線	大阪	西九条	36	36	36	-規69_(7)
JR西日本	大阪環状線	西九条	今宮	52	52	64	-規69_(7)	# 基149（今宮～新今宮）
JR西日本	桜島線	西九条	桜島	41	41	41	
JR西日本	JR東西線	京橋	尼崎	125	125	202	:規157_(29)	# 基151（尼崎～大阪）
JR西日本	福知山線	尼崎	谷川	730	730	807	:基110_はまかぜ,:規157_(29)	# 基151（尼崎～大阪）, 基110（尼崎～和田山）
JR西日本	福知山線	谷川	福知山	335	335	335	:基110_はまかぜ	# 基110（尼崎～和田山）
JR西日本	北陸本線	敦賀	近江塩津	145	145	0		# 基151（近江塩津～敦賀）
JR西日本	北陸本線	近江塩津	米原	314	314	459	-規69_(6)	# 基151（近江塩津～敦賀）
JR西日本	小浜線	敦賀	東舞鶴	843	927	843	
JR西日本	越美北線	越前花堂	九頭竜湖	525	578	525	
JR西日本	七尾線	津幡	和倉温泉	595	655	595	
JR西日本	城端線	高岡	新高岡	18	20	18	
JR西日本	城端線	新高岡	城端	281	309	281	
JR西日本	氷見線	高岡	氷見	165	182	165	
JR東海	高山本線	岐阜	美濃太田	273	300	273	
JR東海	高山本線	美濃太田	猪谷	1619	1781	1619	
JR西日本	高山本線	猪谷	富山	366	403	366	
JR東日本	中央本線	神田	御茶ノ水	13	13	26	:基110_NEX	# 基151（神田～東京）
JR東日本	中央本線	御茶ノ水	代々木	70	70	77	:基110_NEX	# 基151（代々木～新宿）, 基110（代々木～錦糸町）
JR東日本	中央本線	新宿	西国分寺	225	225	225	
JR東日本	中央本線	西国分寺	立川	47	47	47	
JR東日本	中央本線	立川	八王子	99	99	99	
JR東日本	中央本線	八王子	甲府	867	867	867	
JR東日本	中央本線	甲府	小淵沢	396	396	396	
JR東日本	中央本線	小淵沢	岡谷	367	367	367	:基151_塩尻
JR東日本	中央本線	岡谷	塩尻	117	117	117	:基151_塩尻	# 基110（岡谷～塩尻）
JR東海	中央本線	塩尻	多治見	1386	1386	1386	
JR東海	中央本線	多治見	（中）金山	329	329	362		# 基151（金山～名古屋）
JR東日本	中央本線（辰野支線）	岡谷	辰野	95	95	95	:基151_塩尻
JR東日本	中央本線（辰野支線）	辰野	塩尻	182	182	182	
JR東日本	青梅線	立川	拝島	69	69	69	
JR東日本	青梅線	拝島	奥多摩	303	303	303	
JR東日本	五日市線	拝島	武蔵五日市	111	111	111	
JR東日本	八高線	八王子	拝島	99	109	99	
JR東日本	八高線	拝島	高麗川	212	233	212	
JR東日本	八高線	高麗川	倉賀野	609	670	653		# 基151（倉賀野～高崎）
JR東日本	小海線	小諸	佐久平	74	81	74	
JR東日本	小海線	佐久平	小淵沢	715	787	715	
JR東日本	篠ノ井線	篠ノ井	松本	534	534	534	
JR東日本	篠ノ井線	松本	塩尻	133	133	133	:基151_塩尻
JR東日本	大糸線	松本	南小谷	701	771	701	
JR西日本	大糸線	南小谷	糸魚川	353	388	353	
JR東海	太多線	多治見	美濃太田	178	196	178	
JR西日本	山陽本線	神戸	兵庫	18	18	18	+規16-2_2_(4),:規157_(29)
